artist_name,song_title
Bob Dylan,Oxford Town 
David Bowie,I'm Afraid Of Americans 
LL Cool J,Mr. President 
The Isley Brothers,Fight the Power 
Sex Pistols,Anarchy In The U.K. 
James Brown,Say It Loud 
Kate Tempest,Perfect Coffee 
The Last Internationale,1968
Odd Thomas,Fundamentalist 
Odd Thomas,Gun Control 
The Exploited,(Fuck The) U.S.A. 
Agent of Change,Many Vietnams 
Agent of Change,The Guns of the Viet Minh 
The Coup,The Guillotine 
Kate Tempest,Europe Is Lost 
The Coup,My Favorite Mutiny 
Akala,The Thieves Banquet 
Immortal Technique,Peruvian Cocaine 
Dead Prez,We Want Freedom 
Nas,If I Ruled the World (Imagine That) 
The Last Poets,Black Is 
Pete Seeger,Solidarity Forever 
Utah Phillips,We Have Fed You All a Thousand Years 
Birdz,Black Lives Matter 
Emily Wurramara,Black Boy 
Deniro Farrar,Gentrification 
Adolescents,Democracy 
Spinifex Gum,Locked Up 
Dumbfoundead,History of Violence 
Anti-Flag,When The Wall Falls 
U.S.A. For Africa,We Are The World 
The Byrds,Draft Morning 
Helen Reddy,I Am Woman 
Jefferson Airplane,Volunteers 
Bob Marley & The Wailers,War 
Anti-Flag,Mumia's Song (Re
Margo Price,Pay Gap 
Béla Fleck,Come All You Coal Miners 
The Coup,Kill My Landlord 
Mos Def,The Rape Over 
Lil Wayne,Georgia… Bush 
Nas,America 
Nas,Untitled 
Arrested Development,Revolution 
Geto Boys,Point of No Return 
Mos Def,Mathematics 
Queen Latifah,U.N.I.T.Y. 
Dave East,Don't Shoot 
JGivens,Let Me Out 
The Clash,Clampdown 
Sly & The Family Stone,Stand! 
Sly & The Family Stone,"Don't Call Me Nigger, Whitey "
Public Enemy,Rebel Without A Pause 
Sun Ra,Nuclear War 
Peggy Seeger,I'm Gonna Be an Engineer 
Lindsey Buckingham,In My World 
Logic,I Wish 
Benjamin Zephaniah,Revolutionary Minds 
Ursprunget,Mr. Politician 
Malik Turner,Aristocracy 
Anti-Flag,Digital Blackout 
Vince Staples,BagBak 
Nina Simone,Backlash Blues 
John Farnham,You're the Voice 
Tim Hardin,Simple Song of Freedom 
Paul Tabachneck,New America 
Pete Seeger,Bring Them Home (If You Love Your Uncle Sam) 
John Lennon,The Luck Of The Irish 
B. Dolan,Memory of Bombs 
Beans On Toast,Robin Hood Costume 
Beans On Toast,Money for War 
Raye Zaragoza,American Dream 
Raye Zaragoza,Driving to Standing Rock 
Filthy Friends,Despierta 
Neil Young,Already Great 
Protoje,Truths & Rights 
Body Count,Civil War 
Body Count,Black Hoodie 
Pussy Riot,Police State 
Dizzy Wright,Outrageous 
Sir the Baptist,Prayers On A Picket Sign 
Sir the Baptist,The Wall 
Cerebral Coretext,Classy as Trump 
Dumpstaphunk,Justice 
Clint Breeze,Blood Splatter 
Clint Breeze,Black Like Me 
Drive-By Truckers,The Perilous Night 
Tef Poe,Fvck 12 
Algiers,Death March 
Dawn Oberg,Nothing Rhymes with Orange 
Dawn Oberg,Information Is Your Friend 
Dawn Oberg,I'd Love to Be Wrong 
Dawn Oberg,Republican Jesus 
L7,Dispatch From Mar
Margo Price,All American Made 
Oddisee,NNGE 
Os Mutantes,Black and Grey 
Roger Waters,Is This the Life We Really Want? 
Tim Heidecker,Richard Spencer 
Wale,The Kramer 
Wale,Smile 
Willie Nelson,Delete and Fast Forward 
Bliss n Eso,Bullet And A Target 
Bliss n Eso,The Sea Is Rising 
Vinnie Paz,Children Of God 
Atmosphere,Scapegoat 
Hilgy,Charlottesville 
Street Sweeper Social Club,Promenade 
Roy Zimmerman,"My Vote, My Voice, My Right "
Roy Zimmerman,My Conservative Girlfriend 
Jim Page,Hiroshima
Worriers,What We're up Against 
ILL Bill,American History X 
Diabolic,A.M.E.R.I.C.a. (Truth Part 3) 
M1,Real Revolutionaries 
Morrissey,I Bury the Living 
Morrissey,In Your Lap 
Morrissey,All the Young People Must Fall in Love 
Morrissey,Who Will Protect Us from the Police? 
Talib Kweli,All of Us 
Tim Heidecker,Trump Tower 
Tim Heidecker,Mar a Lago 
Tim Heidecker,MAGA 
Dave,Question Time 
Green Day,Back in the USA 
The White Buffalo,Wish It Was True 
Arlo Guthrie,Alice's Restaurant Massacree 
Ten Years After,I'd Love To Change The World 
Pete Seeger,Where Have All the Flowers Gone? 
letlive.,Nü Romantics 
letlive.,Another Offensive Song 
letlive.,White America's Beautiful Black Market 
Beans On Toast,The House that Austerity Built 
Jesse Royal,400 Years 
John Lennon,Sunday Bloody Sunday 
